home_team_name;stadium_name
Vasco da Gama;Estádio Vasco da Gama (São Januário)
Vitória;Estádio Manoel Barradas (Barradão)
Corinthians;Neo Química Arena (Arena Corinthians)
Grêmio;Arena do Grêmio
Ponte Preta;Estádio Moisés Lucarelli
Criciúma;Estádio Heriberto Hülse
Santos;Estádio Urbano Caldeira (Vila Belmiro)
Fluminense;Estádio Jornalista Mário Filho (Maracanã)
Cruzeiro;Estádio Governador Magalhães Pinto (Mineirão)
Coritiba;Estádio Major Antônio Couto Pereira
Atlético PR;Estádio Mário Celso Petraglia (Arena da Baixada)
Botafogo;Estádio Olímpico Nilton Santos (Engenhão)
São Paulo;Estádio Cícero Pompeu de Toledo (Morumbi)
Flamengo;Estádio Jornalista Mário Filho (Maracanã)
Bahia;Arena Fonte Nova
Náutico;Estádio Eládio de Barros Carvalho (Aflitos)
Goiás;Estádio Hailé Pinheiro
Internacional;Estádio José Pinheiro Borda (Beira-Rio)
Atlético Mineiro;Arena MRV
Portuguesa;Estádio Dr. Oswaldo Teixeira Duarte (Canindé)
Chapecoense;Arena Condá
Palmeiras;Allianz Parque
Sport Recife;Estádio Adelmar da Costa Carvalho (Ilha do Retiro)
Figueirense;Estádio Orlando Scarpelli
Avaí;Estádio Aderbal Ramos da Silva (Ressacada)
Joinville;Arena Joinville
Santa Cruz;Estádio José do Rego Maciel (Arruda)
América Mineiro;Estádio Raimundo Sampaio (Arena Independência)
Atlético GO;Estádio Antônio Accioly
Paraná;Estádio Durival Britto e Silva (Vila Capanema)
Ceará;Estádio Plácido Aderaldo Castelo (Arena Castelão)
CSA;Estádio Rei Pelé (Trapichão)
Fortaleza;Estádio Plácido Aderaldo Castelo (Arena Castelão)
Bragantino;Estádio Nabi Abi Chedid
Cuiabá;Arena Pantanal
Juventude;Estádio Alfredo Jaconi
